Unnamed: 0,Level,Component,EventTemplate,type
201.0,Verbose,KeyguardUpdateMonitor,*** register callback for <*>@<*>,android
204.0,Verbose,KeyguardUpdateMonitor,*** unregister callback for null,android
205.0,Debug,PhoneInterfaceManager,[PhoneIntfMgr] getDataEnabled: subId=<*> phoneId=<*>,android
206.0,Debug,PhoneInterfaceManager,[PhoneIntfMgr] getDataEnabled: subId=<*> retVal=true,android
209.0,Info,PanelView,"onInterceptTouchEvent MotionEvent { action=ACTION_DOWN, actionButton=<*>, id[<*>]=<*>, x[<*>]=<*>.<*>, y[<*>]=<*>.<*>, toolType[<*>]=TOOL_TYPE_FINGER, buttonState=<*>, metaState=<*>, flags=<*>, edgeFlags=<*>, pointerCount=<*>, historySize=<*>, eventTime=<*>, downTime=<*>, deviceId=<*>, source=<*> }, mBlockTouches=false",android
212.0,Info,PanelView,"onInterceptTouchEvent MotionEvent { action=ACTION_UP, actionButton=<*>, id[<*>]=<*>, x[<*>]=<*>.<*>, y[<*>]=<*>.<*>, toolType[<*>]=TOOL_TYPE_FINGER, buttonState=<*>, metaState=<*>, flags=<*>, edgeFlags=<*>, pointerCount=<*>, historySize=<*>, eventTime=<*>, downTime=<*>, deviceId=<*>, source=<*> }, mBlockTouches=false",android
213.0,Verbose,AudioManager,playSoundEffect   effectType: <*>,android
215.0,Info,PhoneStatusBar,"animateCollapsePanels:flags=<*>, force=true, delayed=true, mExpandedVisible=true",android
220.0,Info,ActivityManager,START u0 {act=<*> flg=<*> cmp=<*> (has extras)} from uid <*> on display <*>,android
221.0,Info,ActivityManager,"ActivityRecord info: ActivityInfo{<*> <*>}, euid: <*>",android
227.0,Info,NotificationManager,onNotificationClick called,android
228.0,Info,NotificationManager,"cancelNotification,index:<*>",android
229.0,Info,NotificationManager,"cancelNotification,cancelNotificationLocked,callingUid = <*>,callingPid = <*>",android
230.0,Info,NotificationManager,"cancelNotificationLocked called,tell the app,reason = <*>",android
231.0,Info,NotificationManager,cancelNotificationLocked:<*>|<*>|<*>|null|<*>,android
232.0,Info,NotificationManager,"cancelNotificationLocked,remove =<*>",android
233.0,Error,ActivityManager,applyOptionsLocked: Unknown animationType=<*>,android
235.0,Info,PanelView,"flingToHeight: vel=<*>.<*>, expand=false, target=<*>.<*>, collapseSpeedUpFactor=<*>.<*>, expandBecauseOfFalsing=false",android
242.0,Info,WindowManager,"Taking screenshot from Surface with crop:[Rect(<*>, <*> - <*>, <*>)], width:[<*>], height:[<*>], minLayer:[<*>], maxLayer:[<*>], inRotation:[false], rot:[<*>]",android
257.0,Info,PhoneStatusBar,removeNotification:<*>|<*>|<*>|null|<*>,android
258.0,Info,PhoneStatusBar,"updateNotificationShade: total=<*>, active=<*>",android
259.0,Info,PhoneStatusBar,"animateCollapsePanels:flags=<*>, force=false, delayed=false, mExpandedVisible=true",android
262.0,Info,WindowManager,The change in focus caused us to need to do a layout begin,android
263.0,Info,WindowManager,The change in focus caused us to need to do a layout end,android
271.0,Verbose,PhoneStatusBar,setLightsOn(true),android
282.0,Info,PhoneStatusBar,removeNotificationChildren,android
289.0,Debug,ActivityManager,"Skipping, withExcluded: false, tr.intent:Intent { flg=<*> cmp=<*> bnds=<*> }",android
290.0,Debug,ActivityManager,"Skipping, withExcluded: false, tr.intent:Intent { act=<*> flg=<*> cmp=<*> (has extras) }",android
291.0,Debug,ActivityManager,"Skipping, withExcluded: false, tr.intent:Intent { flg=<*> cmp=<*> (has extras) }",android
293.0,Debug,ActivityManager,"Skipping, withExcluded: false, tr.intent:Intent { act=<*> dat=<*> flg=<*> cmp=<*> (has extras) }",android
294.0,Debug,ActivityManager,"Skipping, withExcluded: false, tr.intent:Intent { act=<*> dat=<*> typ=<*> flg=<*> cmp=<*> (has extras) }",android
295.0,Debug,ActivityManager,"getRecentTasks: num=<*>,flags=<*>,totalTasks=<*>",android
296.0,Debug,ActivityManager,getRecentTasks: topActivity=ComponentInfo{<*><*>.<*>},android
303.0,Info,NotificationManager,"cancelNotificationWithTag pid <*>,uid = <*>,tag = null,pkg =<*>,id =<*>",android
313.0,Debug,PhoneStatusBar,makeExpandedInvisible: mExpandedVisible=true,android
314.0,Info,PanelView,closeQs,android
316.0,Info,PanelView,instantCollapse,android
320.0,Debug,PhoneStatusBar,disable: < expand icons* alerts system_info* back home recent clock navigationbar search quick_settings >,android
345.0,Verbose,KeyguardUpdateMonitor,*** unregister callback for <*>@<*>,android
352.0,Warning,ActivityManager,getTasks: caller <*> does not hold REAL_GET_TASKS; limiting output,android
360.0,Verbose,AudioManager,isMusicActive...,android
362.0,Info,ActivityManager,"Start dump, calling from : pid=<*>, uid=<*>",android
372.0,Verbose,AudioManager,setWiredDeviceConnectionState  type: <*>  state: <*>,android
379.0,Debug,ActivityManager,"ActivityManagerService,attachApplication,callingPid = <*>",android
388.0,Verbose,AudioManager,isBluetoothA2dpOn...,android
390.0,Verbose,AudioManager,isBluetoothScoOn...,android
391.0,Verbose,AudioManager,getLastAudibleStreamVolume  treamType: <*>,android
405.0,Verbose,AudioManager,getDevicesForStream  streamType: <*>,android
415.0,Debug,ActivityManager,cleanUpApplicationRecord -- <*>,android
416.0,Info,ActivityManager,"cleanUpApplicationRecordLocked, pid: <*>, restart: false",android
417.0,Info,ActivityManager,"cleanUpApplicationRecordLocked, reset pid: <*>, euid: <*>",android
418.0,Info,DisplayManagerService,stopWifiDisplayScanLocked record.mWifiDisplayScanRequested=false,android
419.0,Info,DisplayManagerService,stopWifiDisplayScanLocked mWifiDisplayScanRequestCount=<*>,android
420.0,Verbose,AudioManager,getMode...,android
421.0,Verbose,AudioManager,setSpeakerphoneOn  on: true,android
422.0,Info,AudioManager,setSpeakerphoneOn on:true,android
432.0,Info,AlarmManager,"sending alarm Alarm{<*> type <*> when <*> PendingIntent{<*>: PendingIntentRecord{<*> android broadcastIntent}}},repeatInterval = <*>,listenerTag =time_tick",android
435.0,Verbose,AlarmManager,Received TIME_TICK alarm; rescheduling,android
436.0,Info,AlarmManager,scheduleTimeTickEvent triggerAtTime = <*>,android
441.0,Debug,KeyguardUpdateMonitor,received broadcast <*>,android
442.0,Debug,KeyguardUpdateMonitor,handleTimeUpdate,android
779.0,Info,AlarmManager,"sending alarm Alarm{<*> type <*> when <*> PendingIntent{<*>: PendingIntentRecord{<*> <*> broadcastIntent}}},repeatInterval = <*>,listenerTag =null",android
782.0,Info,ActivityManager,Killing <*>:<*><*> (adj <*>): empty for <*>,android
915.0,Warning,ActivityManager,Unable to start service Intent { act=<*> cmp=<*>.<*> } U=<*>: not found,android
1000.0,Verbose,AudioManager,unregisterAudioFocusListener...,android
1001.0,Info,AudioManager,abandonAudioFocus,android
1002.0,Info,MediaPlayer,"[HSM] stayAwake false uid: <*>, pid: <*>",android
1003.0,Info,MediaPlayer,Pid:<*> MediaPlayer destructor,android
1008.0,Info,ActivityManager,Process <*>:qzone (pid <*>) has died,android
1010.0,Warning,ActivityManager,Scheduling restart of crashed service <*>.<*> in <*>,android
1024.0,Info,ActivityManager,"new Process app=ProcessRecord{<*> <*>:<*>:qzone<*>}, name: <*>:qzone, euid: <*>",android
1025.0,Info,ActivityManager,Start proc <*>:<*>:qzone<*> for service <*>.<*>,android
1105.0,Info,PhoneStatusBar,"animateCollapsePanels:flags=<*>, force=false, delayed=false, mExpandedVisible=false",android
1228.0,Info,NotificationManager,enqueueNotificationInternal: pkg=<*> id=<*> notification=Notification(pri=<*> contentView=null vibrate=[<*>] sound=null tick defaults=<*> flags=<*> color=<*> vis=PRIVATE),android
1229.0,Info,NotificationManager,enqueueNotificationInternal: n.getKey = <*>,android
1230.0,Verbose,AudioManager,getRingerMode...,android
1231.0,Info,NotificationManager,"updateLightsLocked,mInCall =false,mScreenOn = true,ledNotification == null?false",android
1233.0,Info,PhoneStatusBar,addNotification key=<*>|<*>|<*>|null|<*>,android
1234.0,Info,PanelView,mHeadsUpExistenceChangedRunnable,android
1241.0,Info,NotificationManager,Marking notification as seen <*>|<*>|<*>|null|<*>,android
1242.0,Info,NotificationManager,onNotificationExpansionChanged called,android
1260.0,Info,ActivityManager,START u0 {act=<*> cat=[<*>] flg=<*> cmp=<*> bnds=<*>} from uid <*> on display <*>,android
1299.0,Debug,WindowManager,"ACTIVITY check resid: <*>, size=<*>",android
1511.0,Info,PhoneInterfaceManager,shouldBlockLocation  ret:true,android
1512.0,Debug,PhoneInterfaceManager,getAllCellInfo is blocked by permission manager . callingPackage = <*>,android
1539.0,Debug,PhoneInterfaceManager,getCellLocation is blocked by permission manager uid:<*> pid:<*>,android
1703.0,Verbose,AudioManager,isWiredHeadsetOn...,android
1719.0,Info,MediaPlayer,"setDataSource(<*>, <*>, <*>)",android
1726.0,Verbose,AudioManager,getStreamVolume  treamType: <*>,android
1775.0,Debug,PowerManagerService,"updateIsPoweredLocked: wasPowered=false, mIsPowered=false, oldPlugType=<*>, mPlugType=<*>, mBatteryLevel=<*>",android
1777.0,Warning,KeyguardUpdateMonitor,ACTION_BATTERY_CHANGED AMP: <*>; Volt: <*>,android
1778.0,Info,DeviceIdleController,updateChargingLocked: charging=false,android
1779.0,Debug,WifiService,"onReceive, action:<*>",android
1780.0,Debug,WifiService,ACTION_BATTERY_CHANGED pluggedType: <*>,android
1781.0,Debug,WifiController,ApStaDisabledState what=<*>,android
1782.0,Debug,WifiController,DefaultState what=<*>,android
1783.0,Debug,WifiController,battery changed pluggedType: <*>,android
1784.0,Verbose,KeyguardUpdateMonitor,RefreshBatteryInfo isBatteryLow: <*>,android
1785.0,Warning,KeyguardUpdateMonitor,ChargingSpeed  Wattage: <*> ST: <*> --> <*>,android
1786.0,Debug,KeyguardUpdateMonitor,handleBatteryUpdate,android
1872.0,Info,NotificationManager,enqueueNotificationInternal: pkg=<*> id=<*> notification=Notification(pri=<*> contentView=null vibrate=[<*>] sound=null tick defaults=<*> flags=<*> color=<*> category=msg vis=PRIVATE),android
1937.0,Info,ActivityManager,START u0 {flg=<*> cmp=<*> (has extras)} from uid <*> on display <*>,android
1951.0,Warning,ActivityManager,startActivity called from non-Activity context; forcing Intent.FLAG_ACTIVITY_NEW_TASK for: Intent { flg=<*> cmp=<*> (has extras) },android
1958.0,Debug,PhoneStatusBar,makeExpandedInvisible: mExpandedVisible=false,android
0.0,notice,,workerEnv.init() ok <*>,apache
1.0,error,,mod_jk child workerEnv in error state <*>,apache
2.0,notice,,jk2_init() Found child <*> in scoreboard slot <*>,apache
131.0,error,,[client <*>] Directory index forbidden by rule: <*>,apache
784.0,error,,jk2_init() Can't find child <*> in scoreboard,apache
795.0,error,,mod_jk child init <*> <*>,apache
,INFO,KERNEL,instruction cache parity error corrected,BGL
,INFO,KERNEL,<*> double-hummer alignment exceptions,BGL
,INFO,KERNEL,"CE sym <*>, at <*>, mask <*>",BGL
,FATAL,APP,ciod: failed to read message prefix on control stream (CioStream socket to <*>:<*>,BGL
,INFO,KERNEL,generating core.<*>,BGL
,FATAL,KERNEL,force load/store alignment...............<*>,BGL
,INFO,KERNEL,ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>,BGL
,FATAL,APP,ciod: LOGIN chdir(<*>) failed: No such file or directory,BGL
,INFO,KERNEL,"<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>",BGL
,FATAL,KERNEL,data TLB error interrupt,BGL
,INFO,KERNEL,ciod: Message code <*> is not <*> or <*>,BGL
,FATAL,KERNEL,data storage interrupt,BGL
,FATAL,KERNEL,instruction address: <*>,BGL
,FATAL,KERNEL,data address: <*>,BGL
,FATAL,KERNEL,machine check: i-fetch......................<*>,BGL
,FATAL,KERNEL,program interrupt: illegal instruction......<*>,BGL
,FATAL,KERNEL,exception syndrome register: <*>,BGL
,FATAL,KERNEL,data store interrupt caused by dcbf.........<*>,BGL
,FATAL,KERNEL,program interrupt: privileged instruction...<*>,BGL
,FATAL,KERNEL,program interrupt: trap instruction.........<*>,BGL
,FATAL,KERNEL,program interrupt: imprecise exception......<*>,BGL
,FATAL,KERNEL,store operation.............................<*>,BGL
,FATAL,KERNEL,machine state register: <*>,BGL
,FATAL,KERNEL,data store interrupt caused by icbi.........<*>,BGL
,FATAL,KERNEL,"problem state (<*>=sup,<*>=usr).......<*>",BGL
,FATAL,KERNEL,floating point instr. enabled.....<*>,BGL
,FATAL,KERNEL,auxiliary processor.........................<*>,BGL
,FATAL,KERNEL,machine check enable..............<*>,BGL
,FATAL,KERNEL,floating pt ex mode <*> enable......<*>,BGL
,FATAL,KERNEL,program interrupt: unimplemented operation..<*>,BGL
,FATAL,KERNEL,debug interrupt enable............<*>,BGL
,FATAL,KERNEL,byte ordering exception.....................<*>,BGL
,FATAL,KERNEL,data address space................<*>,BGL
,FATAL,KERNEL,core configuration register: <*>,BGL
,FATAL,KERNEL,program interrupt: fp cr update.............<*>,BGL
,FATAL,KERNEL,guaranteed instruction cache block touch.<*>,BGL
,FATAL,KERNEL,program interrupt: fp cr field .............<*>,BGL
,FATAL,KERNEL,guaranteed data cache block touch........<*>,BGL
,FATAL,KERNEL,icache prefetch depth....................<*>,BGL
,FATAL,KERNEL,icache prefetch threshold................<*>,BGL
,FATAL,KERNEL,wait state enable.................<*>,BGL
,FATAL,KERNEL,critical input interrupt enable...<*>,BGL
,FATAL,KERNEL,special purpose registers:,BGL
,FATAL,KERNEL,lr:<*> cr:<*> xer:<*> ctr:<*>,BGL
,FATAL,KERNEL,rts internal error,BGL
,FATAL,KERNEL,debug wait enable.................<*>,BGL
,FATAL,KERNEL,instruction address space.........<*>,BGL
,FATAL,KERNEL,disable store gathering..................<*>,BGL
,INFO,KERNEL,total of <*> ddr error(s) detected and corrected,BGL
,FATAL,APP,"ciod: Error loading <*>: invalid or missing program image, No such file or directory",BGL
,FATAL,APP,ciod: Error creating node map from file <*>: No child processes,BGL
,INFO,KERNEL,program interrupt,BGL
,WARNING,DISCOVERY,Node card is not fully functional,BGL
,FATAL,APP,ciod: Error creating node map from file <*>: Bad file descriptor,BGL
,INFO,DISCOVERY,Ido chip status changed: <*> ip=<*> v=<*> t=<*> status=M <*>,BGL
,SEVERE,DISCOVERY,Can not get assembly information for node card,BGL
,INFO,KERNEL,ciod: Missing or invalid fields on line <*> of node map file /<*>,BGL
,INFO,KERNEL,<*> torus receiver z+ input pipe error(s) (dcr <*>) detected and corrected,BGL
,INFO,KERNEL,ciod: duplicate canonical-rank <*> to logical-rank <*> mapping at line <*> of node map file /<*>,BGL
,FATAL,APP,ciod: Error creating node map from file <*>: Block device required,BGL
,FATAL,KERNEL,rts panic! - stopping execution,BGL
,FATAL,APP,ciod: Error creating node map from file <*>: Permission denied,BGL
,INFO,KERNEL,ciod: Z coordinate <*> exceeds physical dimension <*> at line <*> of node map file /<*>,BGL
,FATAL,KERNEL,"rts: kernel terminated for reason <*>: bad message header: invalid cpu, type=<*>, cpu=<*>, index=<*>, total=<*>",BGL
,INFO,KERNEL,<*> floating point alignment exceptions,BGL
,INFO,DISCOVERY,New ido chip inserted into the database: <*> ip=<*> v=<*> t=<*>,BGL
,SEVERE,HARDWARE,NodeCard is not fully functional,BGL
,ERROR,DISCOVERY,"Node card status: ALERT <*>, ALERT <*>, ALERT <*>, ALERT <*> is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The <*>.<*> volt rail is OK. The <*>.<*> volt rail is OK.",BGL
,INFO,DISCOVERY,"Node card VPD check: U<*> node in processor card slot J<*> do not match. VPD ecid <*>, found <*>",BGL
,ERROR,MMCS,"idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",BGL
,ERROR,DISCOVERY,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The <*>.<*> volt rail is OK. The <*>.<*> volt rail is OK.,BGL
,WARNING,HARDWARE,"PrepareForService shutting down NodeCard(mLctn(<*>), mCardSernum(<*>), mLp(<*>), mIp(<*>), mType(<*>)) as part of Service Action <*>",BGL
,FATAL,KERNEL,rts tree/torus link training failed: wanted: <*> got: <*>,BGL
,INFO,KERNEL,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected,BGL
,FATAL,APP,"ciod: Error loading /<*>: invalid or missing program image, Exec format error",BGL
,FATAL,APP,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*>:<*>: Link has been severed,BGL
,FATAL,KERNEL,rts: kernel terminated for reason <*>,BGL
,INFO,KERNEL,ciod: generated <*> core files for program <*>,BGL
,INFO,KERNEL,iar <*> dear <*>,BGL
,INFO,KERNEL,"NFS Mount failed on bglio<*>, slept <*> seconds, retrying (<*>)",BGL
,FATAL,KERNEL,Lustre mount FAILED : bglio<*> : point <*>,BGL
,INFO,KERNEL,<*> torus receiver x+ input pipe error(s) (dcr <*>) detected and corrected,BGL
,INFO,KERNEL,ciod: pollControlDescriptors: Detected the debugger died.,BGL
,INFO,KERNEL,"ciod: In packet from node <*>.<*> (<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)",BGL
,INFO,KERNEL,<*> torus receiver y+ input pipe error(s) (dcr <*>) detected and corrected,BGL
,INFO,KERNEL,suppressing further interrupts of same type,BGL
,FATAL,KERNEL,rts: bad message header: expecting type <*> instead of type <*> (softheader=<*> <*> <*> <*>) PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>,BGL
,INFO,KERNEL,critical input interrupt (unit=<*> bit=<*>): warning for torus y+ wire,BGL
,FATAL,APP,"ciod: Error loading /<*>: invalid or missing program image, Permission denied",BGL
,INFO,KERNEL,data cache search parity error detected. attempting to correct,BGL
,INFO,KERNEL,shutdown complete,BGL
,INFO,KERNEL,critical input interrupt (unit=<*> bit=<*>): warning for torus z- wire,BGL
,FATAL,KERNEL,"Error receiving packet on tree network, expecting type <*> instead of type <*> (softheader=<*> <*> <*> <*>) PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>",BGL
,INFO,KERNEL,<*> L3 EDRAM error(s) (dcr <*>) detected and corrected,BGL
,INFO,KERNEL,"critical input interrupt (unit=<*> bit=<*>): warning for torus z+ wire, suppressing further interrupts of same type",BGL
,INFO,KERNEL,<*> torus sender z- retransmission error(s) (dcr <*>) detected and corrected over <*> seconds,BGL
,INFO,KERNEL,"ciod: Received signal <*>, code=<*>, errno=<*>, address=<*>",BGL
,FATAL,KERNEL,Lustre mount FAILED : bglio<*> : block_id : location,BGL
,INFO,KERNEL,MACHINE CHECK DCR read timeout (mc=<*> iar <*> lr <*>),BGL
,FATAL,APP,"ciod: Error reading message prefix on CioStream socket to <*>:<*>, Connection timed out",BGL
,FATAL,APP,"ciod: Error reading message prefix on CioStream socket to <*>:<*>, Connection reset by peer",BGL
,FATAL,KERNEL,dbcr0=<*> dbsr=<*> ccr0=<*>,BGL
,FATAL,APP,"ciod: Error reading message prefix on CioStream socket to <*>:<*>, Link has been severed",BGL
,FATAL,KERNEL,r24=<*> r25=<*> r26=<*> r27=<*>,BGL
,INFO,KERNEL,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected over <*> seconds,BGL
,INFO,KERNEL,<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr.,BGL
,INFO,KERNEL,"<*> total interrupts. 0 critical input interrupts. <*> microseconds total spent on critical input interrupts, <*> microseconds max time in a critical input interrupt.",BGL
,INFO,KERNEL,"<*> ddr error(s) detected and corrected on rank <*>, symbol <*> over <*> seconds",BGL
,WARNING,HARDWARE,"PrepareForService shutting down Node card(mLctn(<*>), mCardSernum(<*>), mLp(<*>), mIp(<*>), mType(<*>)) as part of Service Action <*>",BGL
,INFO,KERNEL,"Kernel detected <*> integer alignment exceptions (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*>",BGL
,INFO,KERNEL,total of <*> ddr error(s) detected and corrected over <*> seconds,BGL
,FATAL,KERNEL,minus normalized number..................<*>,BGL
,FATAL,KERNEL,fraction rounded.........................<*>,BGL
,INFO,KERNEL,"critical input interrupt (unit=<*> bit=<*>): warning for tree C1 wire, suppressing further interrupts of same type",BGL
,FATAL,KERNEL,size of scratchpad portion of L3.........<*> (<*>),BGL
,FATAL,APP,ciod: LOGIN chdir(<*>) failed: Input/output error,BGL
,INFO,KERNEL,<*> L3 EDRAM error(s) (dcr <*>) detected and corrected over <*> seconds,BGL
,FATAL,APP,"ciod: Error loading /<*>: program image too big, <*> > <*>",BGL
,FATAL,KERNEL,fpr29=<*>,BGL
,FATAL,KERNEL,Machine State Register: <*>,BGL
,INFO,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Created MRAppMaster for application appattempt_<*>,Hadoop
,INFO,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Executing with tokens:,Hadoop
,INFO,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>)",Hadoop
,INFO,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Using mapred newApiCommitter.,Hadoop
,INFO,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,OutputCommitter set in config null,Hadoop
